team	result	side	adjudicators
Cornell A	eliminated	Opening Opposition	Emily Yinchang ShiⒸ , Kyle Cook , Tanay Patri
Stanford LS	advancing	Closing Opposition	Emily Yinchang ShiⒸ , Kyle Cook , Tanay Patri
Milei neutrality	advancing	Opening Government	Emily Yinchang ShiⒸ , Kyle Cook , Tanay Patri
we were going to get married	eliminated	Closing Government	Emily Yinchang ShiⒸ , Kyle Cook , Tanay Patri
Harvard GG	eliminated	Closing Government	Crystal ZhangⒸ , Danté Cecilio Fosterdelmundo , Xiao-ke Lu 🦭
SDOWU	eliminated	Closing Opposition	Crystal ZhangⒸ , Danté Cecilio Fosterdelmundo , Xiao-ke Lu 🦭
Washedasaurus Rex	advancing	Opening Government	Crystal ZhangⒸ , Danté Cecilio Fosterdelmundo , Xiao-ke Lu 🦭
Clash Royale	advancing	Opening Opposition	Crystal ZhangⒸ , Danté Cecilio Fosterdelmundo , Xiao-ke Lu 🦭
Channeling our Inner Bazooka	eliminated	Opening Government	Caitlin MahⒸ , Omesh Dhar Dwivedi , Sarenna McKellar
Mostly Harmless	eliminated	Closing Government	Caitlin MahⒸ , Omesh Dhar Dwivedi , Sarenna McKellar
Chrono-Synclastic Infundibulum	advancing	Opening Opposition	Caitlin MahⒸ , Omesh Dhar Dwivedi , Sarenna McKellar
Western disproving the Oxford study	advancing	Closing Opposition	Caitlin MahⒸ , Omesh Dhar Dwivedi , Sarenna McKellar
Croc and Ball Torture	advancing	Opening Opposition	Tarun RuschmeierⒸ , Arpi Yang , Greg Kwok
Harvard A(llowed to go to worlds)	eliminated	Opening Government	Tarun RuschmeierⒸ , Arpi Yang , Greg Kwok
moo deng and pesto	advancing	Closing Government	Tarun RuschmeierⒸ , Arpi Yang , Greg Kwok
Debate, I Need Out! (DINO)	eliminated	Closing Opposition	Tarun RuschmeierⒸ , Arpi Yang , Greg Kwok
