team	result	side	adjudicators
Bates CS	4th	Opening Opposition	Sreyan KanungoⒸ , Amalia Mercedes Schneider , Amy Zhou
UVM SS	2nd	Closing Government	Sreyan KanungoⒸ , Amalia Mercedes Schneider , Amy Zhou
ROC LZ	3rd	Closing Opposition	Sreyan KanungoⒸ , Amalia Mercedes Schneider , Amy Zhou
Cornell HP	3rd	Opening Government	Nick BayerⒸ , Alan Pham , Mo Islam , Pranav Anand
UVM KR	1st	Opening Opposition	Nick BayerⒸ , Alan Pham , Mo Islam , Pranav Anand
ULV FR	4th	Closing Government	Nick BayerⒸ , Alan Pham , Mo Islam , Pranav Anand
Rutgers AB	2nd	Closing Opposition	Nick BayerⒸ , Alan Pham , Mo Islam , Pranav Anand
Cornell CP	1st	Opening Government	Sreyan KanungoⒸ , Amalia Mercedes Schneider , Amy Zhou
Princeton KT	3rd	Opening Government	Danny SchonningⒸ , Jack Hanson
Duke DM	2nd	Opening Opposition	Danny SchonningⒸ , Jack Hanson
Duke HJ	1st	Closing Government	Danny SchonningⒸ , Jack Hanson
Cornell PS	4th	Closing Opposition	Danny SchonningⒸ , Jack Hanson
Bard RW	4th	Opening Government	Meg KandarpaⒸ , Andrew Barsky , Laura Giugno , Laura Jocelyn
UCLA MW	2nd	Opening Opposition	Meg KandarpaⒸ , Andrew Barsky , Laura Giugno , Laura Jocelyn
Stanford TC	1st	Closing Government	Meg KandarpaⒸ , Andrew Barsky , Laura Giugno , Laura Jocelyn
Williams ST	3rd	Closing Opposition	Meg KandarpaⒸ , Andrew Barsky , Laura Giugno , Laura Jocelyn
Cornell KW	2nd	Opening Government	Ben FrazerⒸ , Charles Ndlovu , Clarence Brontë
HWS RT	1st	Opening Opposition	Ben FrazerⒸ , Charles Ndlovu , Clarence Brontë
Gallaudet BH	3rd	Closing Government	Ben FrazerⒸ , Charles Ndlovu , Clarence Brontë
Pepperdine HW	3rd	Opening Government	Isabel BirneyⒸ , André Brown , Nabil Rahman
ROC SY	1st	Opening Opposition	Isabel BirneyⒸ , André Brown , Nabil Rahman
Duke DW	2nd	Closing Government	Isabel BirneyⒸ , André Brown , Nabil Rahman
Cornell CM	4th	Closing Opposition	Isabel BirneyⒸ , André Brown , Nabil Rahman
Colgate DR	1st	Opening Government	Ben ShawⒸ , Gaveal Fan , Mike Arinarkin
UVM BR	3rd	Opening Opposition	Ben ShawⒸ , Gaveal Fan , Mike Arinarkin
ULV DR	2nd	Closing Government	Ben ShawⒸ , Gaveal Fan , Mike Arinarkin
ROC swing	4th	Closing Opposition	Ben ShawⒸ , Gaveal Fan , Mike Arinarkin
UVM GL	4th	Closing Opposition	Ben FrazerⒸ , Charles Ndlovu , Clarence Brontë
HWS CW	1st	Opening Government	Owen WebsterⒸ , Maggie Pierce , Matthew Schaupp
ROC DP	4th	Opening Opposition	Owen WebsterⒸ , Maggie Pierce , Matthew Schaupp
Cornell GL	3rd	Closing Government	Owen WebsterⒸ , Maggie Pierce , Matthew Schaupp
Duke MN	2nd	Closing Opposition	Owen WebsterⒸ , Maggie Pierce , Matthew Schaupp
Princeton FJ	1st	Opening Government	Eli PallrandⒸ , Benjamin Dokupil , Julia García Guell
Princeton BB	2nd	Opening Opposition	Eli PallrandⒸ , Benjamin Dokupil , Julia García Guell
ROC swing 2	3rd	Closing Government	Eli PallrandⒸ , Benjamin Dokupil , Julia García Guell
Chicago PZ	4th	Closing Opposition	Eli PallrandⒸ , Benjamin Dokupil , Julia García Guell
Bard SB	3rd	Opening Government	Amanda LiangⒸ , Abigel Manaye , Edwin Owusu , Gavin Sicard
Bard CS	2nd	Opening Opposition	Amanda LiangⒸ , Abigel Manaye , Edwin Owusu , Gavin Sicard
Duke LP	1st	Closing Government	Amanda LiangⒸ , Abigel Manaye , Edwin Owusu , Gavin Sicard
Cornell AL	4th	Closing Opposition	Amanda LiangⒸ , Abigel Manaye , Edwin Owusu , Gavin Sicard
Bates NT	1st	Opening Government	Ram OrfanelⒸ , Isabel Orlando , Iskra Miralem , Kayla Powers
Gallaudet BB	3rd	Opening Government	Willie JohnsonⒸ , Julian Henry , Millie Caughey , Sophia Wlodek
Cornell DP	1st	Opening Opposition	Willie JohnsonⒸ , Julian Henry , Millie Caughey , Sophia Wlodek
HWS TW	2nd	Closing Government	Willie JohnsonⒸ , Julian Henry , Millie Caughey , Sophia Wlodek
ROC KR	4th	Closing Opposition	Willie JohnsonⒸ , Julian Henry , Millie Caughey , Sophia Wlodek
Colgate AW	3rd	Opening Opposition	Ram OrfanelⒸ , Isabel Orlando , Iskra Miralem , Kayla Powers
Stanford KC	2nd	Closing Government	Ram OrfanelⒸ , Isabel Orlando , Iskra Miralem , Kayla Powers
Chicago DK	4th	Closing Opposition	Ram OrfanelⒸ , Isabel Orlando , Iskra Miralem , Kayla Powers
