team	institution	result	side	adjudicators
Oxford D	Oxford	advancing	Closing Opposition	Aymaan SheikhⒸ , Ahmad Tousif Jami , Alexandra McCreadie , Guyberli van Thuijl , Sarenna McKellar
Dartmouth A	Dartmouth	advancing	Opening Opposition	Aymaan SheikhⒸ , Ahmad Tousif Jami , Alexandra McCreadie , Guyberli van Thuijl , Sarenna McKellar
Oxford/Zagreb A	—	eliminated	Closing Government	Aymaan SheikhⒸ , Ahmad Tousif Jami , Alexandra McCreadie , Guyberli van Thuijl , Sarenna McKellar
Oxford F	Oxford	eliminated	Opening Government	Aymaan SheikhⒸ , Ahmad Tousif Jami , Alexandra McCreadie , Guyberli van Thuijl , Sarenna McKellar
MDU Manchester A	MDU	advancing	Closing Government	Martha McKinney-PerryⒸ , David Africa , Emma Bell , Hans Deepak , Munirah Abdullah
BeDU Berlin A	BeDU	eliminated	Opening Opposition	Martha McKinney-PerryⒸ , David Africa , Emma Bell , Hans Deepak , Munirah Abdullah
Zagreb/ LSE A	—	advancing	Opening Government	Martha McKinney-PerryⒸ , David Africa , Emma Bell , Hans Deepak , Munirah Abdullah
Harvard/ LSE A	—	eliminated	Closing Opposition	Martha McKinney-PerryⒸ , David Africa , Emma Bell , Hans Deepak , Munirah Abdullah
St Andrews MW	St Andrews	advancing	Opening Government	Lovro MarušićⒸ , Alex Bavalsky , Alishba Irfan , Ananya Krishna , Zach Godley-McAvoy
Oxford A	Oxford	advancing	Opening Opposition	Lovro MarušićⒸ , Alex Bavalsky , Alishba Irfan , Ananya Krishna , Zach Godley-McAvoy
UoL A	UoL	eliminated	Closing Opposition	Lovro MarušićⒸ , Alex Bavalsky , Alishba Irfan , Ananya Krishna , Zach Godley-McAvoy
Oxford G	Oxford	eliminated	Closing Government	Lovro MarušićⒸ , Alex Bavalsky , Alishba Irfan , Ananya Krishna , Zach Godley-McAvoy
LSE B	LSE	eliminated	Opening Government	Pjotr KosterⒸ , Jason Pocock , Lara Dragojević , Luca Lombardo , Theo Simion
Warwick A	Warwick	eliminated	Closing Government	Pjotr KosterⒸ , Jason Pocock , Lara Dragojević , Luca Lombardo , Theo Simion
Oxford LM	Oxford	advancing	Closing Opposition	Pjotr KosterⒸ , Jason Pocock , Lara Dragojević , Luca Lombardo , Theo Simion
Stanford /OUI	Stanford	advancing	Opening Opposition	Pjotr KosterⒸ , Jason Pocock , Lara Dragojević , Luca Lombardo , Theo Simion
