team	result	side	adjudicators
Yale AT	1st	Opening Opposition	Parth PandyaⒸ , Kayla Powers
Sodales BP	4th	Closing Government	Parth PandyaⒸ , Kayla Powers
Dartmouth AE	3rd	Closing Opposition	Parth PandyaⒸ , Kayla Powers
Carleton GK	2nd	Opening Opposition	Alice BertoniⒸ
Hart House PR	1st	Closing Government	Alice BertoniⒸ
QDU CW	3rd	Closing Opposition	Alice BertoniⒸ
UCLA HN	4th	Opening Government	Vidit DesaiⒸ , Sinziana Stanciu
Davidson BC	2nd	Opening Opposition	Vidit DesaiⒸ , Sinziana Stanciu
UAlberta DT	3rd	Closing Government	Vidit DesaiⒸ , Sinziana Stanciu
Hart House BS	1st	Closing Opposition	Vidit DesaiⒸ , Sinziana Stanciu
HWS LW	3rd	Opening Government	Ritabrata MitraⒸ , Jasmine Moheb
QDU KM	1st	Opening Opposition	Ritabrata MitraⒸ , Jasmine Moheb
MDU AS	4th	Closing Government	Ritabrata MitraⒸ , Jasmine Moheb
TEC OV	2nd	Closing Opposition	Ritabrata MitraⒸ , Jasmine Moheb
Dartmouth BC	1st	Opening Government	Daniel Maier-GantⒸ , Micaela Lewis , Saron Teferra
Duke BF	3rd	Opening Opposition	Daniel Maier-GantⒸ , Micaela Lewis , Saron Teferra
UCLA CH	2nd	Closing Government	Daniel Maier-GantⒸ , Micaela Lewis , Saron Teferra
Dartmouth CF	4th	Closing Opposition	Daniel Maier-GantⒸ , Micaela Lewis , Saron Teferra
QDU DM	2nd	Opening Government	Parth PandyaⒸ , Kayla Powers
Harvard KY	4th	Closing Government	Dennis SuⒸ , Jessica Singh , Kate Xinyi He
JHU GL	2nd	Closing Opposition	Dennis SuⒸ , Jessica Singh , Kate Xinyi He
Princeton LW	1st	Opening Government	Rumen MarinovⒸ , Gwen Stearns , Pranav Anand
MDU PR	2nd	Opening Opposition	Rumen MarinovⒸ , Gwen Stearns , Pranav Anand
UChicago KN	4th	Closing Government	Rumen MarinovⒸ , Gwen Stearns , Pranav Anand
Yale NS	3rd	Closing Opposition	Rumen MarinovⒸ , Gwen Stearns , Pranav Anand
Harvard HS	3rd	Opening Government	Udai KamathⒸ , Ruth Silcoff , Suman Mitra
Swing 1	1st	Opening Opposition	Udai KamathⒸ , Ruth Silcoff , Suman Mitra
Harvard HT	4th	Closing Government	Udai KamathⒸ , Ruth Silcoff , Suman Mitra
