team	result	side	adjudicators
Skyrocket	1st	Opening Government	Choy Sum Yee EvelynⒸ
BGU strategic 4th	3rd	Opening Opposition	Choy Sum Yee EvelynⒸ
Korea Fish bread with red beans	4th	Closing Government	Choy Sum Yee EvelynⒸ
Swing C	2nd	Closing Opposition	Choy Sum Yee EvelynⒸ
TCD Hist B	2nd	Opening Government	Sam PennoⒸ
Swing B	4th	Opening Opposition	Sam PennoⒸ
Chicago LW	1st	Closing Government	Sam PennoⒸ
CEU	3rd	Closing Opposition	Sam PennoⒸ
Bates MO	1st	Opening Government	V SayiramⒸ
Aalto Finnished	4th	Opening Opposition	V SayiramⒸ
Sciences Po Wawaweewa	2nd	Closing Government	V SayiramⒸ
SISU Manphia	3rd	Closing Opposition	V SayiramⒸ
Split Otrova u chay	2nd	Opening Government	Amelia PotockaⒸ
Thammasat Fluffy Quokka	4th	Opening Opposition	Amelia PotockaⒸ
BUET C	3rd	Closing Government	Amelia PotockaⒸ
Palm	1st	Closing Opposition	Amelia PotockaⒸ
Bucharest B(ulgaria should be in Schengen)	2nd	Opening Government	Maša PopeskovićⒸ
TCD Hist A	1st	Opening Opposition	Maša PopeskovićⒸ
Budapest A	3rd	Closing Government	Maša PopeskovićⒸ
UCLA Opinionators	4th	Closing Opposition	Maša PopeskovićⒸ
Chula A	3rd	Opening Government	Oisín BrowneⒸ
Ghana Team Avatar	4th	Opening Opposition	Oisín BrowneⒸ
Tokyo YY	2nd	Closing Government	Oisín BrowneⒸ
Swing TAU Ayy	1st	Closing Opposition	Oisín BrowneⒸ
Monash D	4th	Opening Government	Chesta BⒸ
qfin ppl	3rd	Opening Opposition	Chesta BⒸ
KNOBS A	2nd	Closing Government	Chesta BⒸ
NUS Rise too high must fall	1st	Closing Opposition	Chesta BⒸ
Tokyo Garden Dog	2nd	Opening Government	Zach Godley-McAvoyⒸ
Seoul Chimaek	4th	Opening Opposition	Zach Godley-McAvoyⒸ
BUET No name cause our minds went blank	1st	Closing Government	Zach Godley-McAvoyⒸ
PUCP A	3rd	Closing Opposition	Zach Godley-McAvoyⒸ
Oxford MF	3rd	Opening Government	Kevin LeeⒸ
Harvard BB	2nd	Opening Opposition	Kevin LeeⒸ
Nottingham Melodifestivalen Fan Club	1st	Closing Government	Kevin LeeⒸ
UL Team SL	4th	Closing Opposition	Kevin LeeⒸ
Munich Pēgasos	2nd	Opening Government	Mahesh RⒸ
BGU DNS	3rd	Opening Opposition	Mahesh RⒸ
Durham WE	1st	Closing Government	Mahesh RⒸ
BUET B	4th	Closing Opposition	Mahesh RⒸ
Zagreb LF	1st	Opening Government	Leauren S. JiⒸ
Tokyo Climb up the debating ladder	4th	Opening Opposition	Leauren S. JiⒸ
Warsaw (XD)	3rd	Closing Government	Leauren S. JiⒸ
Manthan you&#x27;re on your own kid	2nd	Closing Opposition	Leauren S. JiⒸ
Chicago GK	2nd	Opening Government	Liam UrbanⒸ , Lucie Slamova
Tokyo YT	3rd	Opening Opposition	Liam UrbanⒸ , Lucie Slamova
TCD Phil A	1st	Closing Government	Liam UrbanⒸ , Lucie Slamova
Cornell OM	4th	Closing Opposition	Liam UrbanⒸ , Lucie Slamova
Edinburgh Bunker vaping call that Enver Hoxh	3rd	Opening Government	Narayan SharmaⒸ , Chu Duc An
IUB Birdie Association	1st	Opening Opposition	Narayan SharmaⒸ , Chu Duc An
UNSW B	2nd	Closing Government	Narayan SharmaⒸ , Chu Duc An
NTU HO	4th	Closing Opposition	Narayan SharmaⒸ , Chu Duc An
Bucharest A(ustria&#x27;s immigration problem)	1st	Opening Government	Juanita Hincapié RestrepoⒸ , Tousif Tanvir Alam
NTU NL	4th	Opening Opposition	Juanita Hincapié RestrepoⒸ , Tousif Tanvir Alam
Technion not throwing the wolves to the wol	3rd	Closing Government	Juanita Hincapié RestrepoⒸ , Tousif Tanvir Alam
Swing A	2nd	Closing Opposition	Juanita Hincapié RestrepoⒸ , Tousif Tanvir Alam
NUS Boy Bawang	2nd	Opening Government	Dino WildiⒸ , Andrew Chen
Athens A	1st	Opening Opposition	Dino WildiⒸ , Andrew Chen
Imperial A	3rd	Closing Government	Dino WildiⒸ , Andrew Chen
NTU SG	4th	Closing Opposition	Dino WildiⒸ , Andrew Chen
Zagreb A	4th	Opening Government	Shireen AliⒸ , Ryosei Kobayashi
TAU Swing A	2nd	Opening Opposition	Shireen AliⒸ , Ryosei Kobayashi
LSE A	1st	Closing Government	Shireen AliⒸ , Ryosei Kobayashi
Harvard LT	3rd	Closing Opposition	Shireen AliⒸ , Ryosei Kobayashi
UCLA am-am	4th	Opening Government	Joseph LewisⒸ , Xinyu Hu
Cambridge Do You Know?	2nd	Opening Opposition	Joseph LewisⒸ , Xinyu Hu
St Andrews jasmine analysis: fragrant with a	1st	Closing Government	Joseph LewisⒸ , Xinyu Hu
Oxford Epistemic Authority	3rd	Closing Opposition	Joseph LewisⒸ , Xinyu Hu
UCD L&amp;H A	3rd	Opening Opposition	Lior SokolⒸ , Veda Nair
Reichman A	3rd	Opening Government	Paolo TainoⒸ , Saleem Salisu
NUS Pu Bor	4th	Opening Opposition	Paolo TainoⒸ , Saleem Salisu
Oxford AP	2nd	Closing Government	Paolo TainoⒸ , Saleem Salisu
Harvard CH	1st	Closing Opposition	Paolo TainoⒸ , Saleem Salisu
Chile Flo and Peralta Inc.	2nd	Opening Government	Anqi LiⒸ
TAU R&amp;O	4th	Opening Opposition	Anqi LiⒸ
HUJI Hujilicious	3rd	Closing Government	Anqi LiⒸ
