team	result	side	adjudicators
TCD Phil A	1st	Opening Government	Joseph LewisⒸ
UCD L&amp;H A	3rd	Opening Opposition	Joseph LewisⒸ
Cornell OM	4th	Closing Government	Joseph LewisⒸ
NUS LL	2nd	Closing Opposition	Joseph LewisⒸ
De La Salle AA	1st	Opening Government	Josef MoscoviciⒸ
Budapest A	2nd	Opening Opposition	Josef MoscoviciⒸ
TCD Hist B	4th	Closing Government	Josef MoscoviciⒸ
Aalto Finnished	3rd	Closing Opposition	Josef MoscoviciⒸ
Chicago HP	1st	Opening Government	William SmithⒸ
Monash D	3rd	Opening Opposition	William SmithⒸ
Yeonwoo and Salleh	2nd	Closing Government	William SmithⒸ
Cambridge we dont know	4th	Closing Opposition	William SmithⒸ
Palm	3rd	Opening Government	Paolo TainoⒸ
Oxford Epistemic Authority	2nd	Opening Opposition	Paolo TainoⒸ
Korea Fish bread with red beans	4th	Closing Government	Paolo TainoⒸ
Cambridge Do You Know?	1st	Closing Opposition	Paolo TainoⒸ
Nottingham Melodifestivalen Fan Club	3rd	Opening Government	Anna ShrederⒸ
NTU HO	4th	Opening Opposition	Anna ShrederⒸ
Sofia A	1st	Closing Government	Anna ShrederⒸ
St Andrews jasmine analysis: fragrant with a	2nd	Closing Opposition	Anna ShrederⒸ
Durham WE	4th	Opening Government	Oisín BrowneⒸ , Auguste McNally
Sciences Po Wawaweewa	2nd	Opening Opposition	Oisín BrowneⒸ , Auguste McNally
UPD Garcia &amp; Legaspi	1st	Closing Government	Oisín BrowneⒸ , Auguste McNally
Bates MO	3rd	Closing Opposition	Oisín BrowneⒸ , Auguste McNally
Sydney Druce &amp; Kuo	2nd	Opening Government	Shireen AliⒸ , Andrew Chen
Sydney B	1st	Opening Opposition	Shireen AliⒸ , Andrew Chen
Cambridge SG	3rd	Closing Government	Shireen AliⒸ , Andrew Chen
DK Wien Vienna B	4th	Closing Opposition	Shireen AliⒸ , Andrew Chen
Warsaw (XD)	4th	Opening Government	Maša PopeskovićⒸ , Katharina Jansen
