team	result	side	adjudicators
Chula A	2nd	Opening Government	Tousif Tanvir AlamⒸ
Warsaw (XD)	1st	Opening Opposition	Tousif Tanvir AlamⒸ
Seoul Chimaek	3rd	Closing Government	Tousif Tanvir AlamⒸ
HGHS no solvency	4th	Closing Opposition	Tousif Tanvir AlamⒸ
UL Team SL	4th	Opening Government	Chesta BⒸ
Bucharest B(ulgaria should be in Schengen)	3rd	Opening Opposition	Chesta BⒸ
Split Otrova u chay	2nd	Closing Government	Chesta BⒸ
De La Salle Kuo Tiffany	1st	Closing Opposition	Chesta BⒸ
SISU Manphia	3rd	Opening Government	Amelia PotockaⒸ
HUJI Hujilicious	2nd	Opening Opposition	Amelia PotockaⒸ
Skyrocket	4th	Closing Government	Amelia PotockaⒸ
TAU R&amp;O	1st	Closing Opposition	Amelia PotockaⒸ
Tokyo Climb up the debating ladder	3rd	Opening Government	Maša PopeskovićⒸ
TCD Hist B	2nd	Opening Opposition	Maša PopeskovićⒸ
Aalto Finnished	4th	Closing Government	Maša PopeskovićⒸ
Chicago LW	1st	Closing Opposition	Maša PopeskovićⒸ
Bates MO	1st	Opening Government	William SmithⒸ , Choy Sum Yee Evelyn
Zagreb LF	3rd	Opening Opposition	William SmithⒸ , Choy Sum Yee Evelyn
UCLA am-am	2nd	Closing Government	William SmithⒸ , Choy Sum Yee Evelyn
AUEB Voyager 1 &amp; 2	4th	Closing Opposition	William SmithⒸ , Choy Sum Yee Evelyn
Sciences Po Wawaweewa	3rd	Opening Government	Dino WildiⒸ
KNUST Attakpah and Ametu	2nd	Opening Opposition	Dino WildiⒸ
Imperial B(ackstreet&#x27;s back ALRIGHT)	1st	Closing Government	Dino WildiⒸ
Chile Flo and Peralta Inc.	4th	Closing Opposition	Dino WildiⒸ
Cornell OM	3rd	Opening Government	Kevin LeeⒸ , Mezen Lababidi
KNOBS A	4th	Opening Opposition	Kevin LeeⒸ , Mezen Lababidi
UCD L&amp;H A	1st	Closing Government	Kevin LeeⒸ , Mezen Lababidi
