team	result	side	adjudicators
Sydney Freeland and Bakker	advancing	Opening Government	Paolo TainoⒸ , Chesta B , Joseph Lewis
Dartmouth am i visible	eliminated	Opening Opposition	Paolo TainoⒸ , Chesta B , Joseph Lewis
Mice In Our Walls	eliminated	Closing Government	Paolo TainoⒸ , Chesta B , Joseph Lewis
LSE A	advancing	Closing Opposition	Paolo TainoⒸ , Chesta B , Joseph Lewis
Imperial A	eliminated	Opening Government	Sher May NarⒸ , Lior Sokol , Ryosei Kobayashi
UNWE A(ustria let us in Schengen pls)	eliminated	Opening Opposition	Sher May NarⒸ , Lior Sokol , Ryosei Kobayashi
Zagreb A	advancing	Closing Government	Sher May NarⒸ , Lior Sokol , Ryosei Kobayashi
TCD Phil A	advancing	Closing Opposition	Sher May NarⒸ , Lior Sokol , Ryosei Kobayashi
Harvard LT	eliminated	Opening Government	Alex McCreadieⒸ , Katharina Jansen , V Sayiram
Sydney Druce &amp; Kuo	eliminated	Opening Opposition	Alex McCreadieⒸ , Katharina Jansen , V Sayiram
Sydney B	advancing	Closing Government	Alex McCreadieⒸ , Katharina Jansen , V Sayiram
Started from mail-order brides now	advancing	Closing Opposition	Alex McCreadieⒸ , Katharina Jansen , V Sayiram
Sofia A	eliminated	Opening Government	Kevin LeeⒸ , Andrew Chen , Helena Hecke
Ateneo 1	advancing	Opening Opposition	Kevin LeeⒸ , Andrew Chen , Helena Hecke
St Andrews jasmine analysis: fragrant with a	advancing	Closing Government	Kevin LeeⒸ , Andrew Chen , Helena Hecke
Chicago GK	eliminated	Closing Opposition	Kevin LeeⒸ , Andrew Chen , Helena Hecke
