Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Harvard HW		1st	1st	1st	1st	2nd	14	801	4	1
2	Harvard HT		3rd	1st	1st	1st	1st	13	809	4	0
3	Stanford SZ		1st	3rd	1st	1st	1st	13	808	4	0
4	UPenn ND	Novice	2nd	2nd	2nd	1st	1st	12	812	2	3
5	Chicago LB		1st	1st	2nd	1st	3rd	12	807	3	1
6	McGill ZS		1st	2nd	1st	2nd	2nd	12	805	2	3
7	Penn/Independent CS	Novice	2nd	2nd	1st	2nd	1st	12	792	2	3
8	Chicago KN		2nd	1st	1st	3rd	2nd	11	812	2	2
9	Princeton XI		1st	2nd	2nd	1st	3rd	11	806	2	2
10	JHU YG		1st	3rd	1st	2nd	2nd	11	804	2	2
11	Harvard BC		1st	1st	2nd	4th	1st	11	803	3	1
12	Cornell KP		1st	2nd	2nd	3rd	1st	11	796	2	2
13	Stanford HI		1st	2nd	1st	4th	1st	11	793	3	1
14	Dartmouth LW		1st	1st	1st	2nd	4th	11	792	3	1
15	Princeton IH		3rd	1st	3rd	1st	1st	11	787	3	0
16	Brown F		2nd	2nd	2nd	1st	2nd	11	775	1	4
17	Wake Forest/Hart House Hybrid AS		1st	3rd	4th	1st	1st	10	794	3	0
18	HH WM	Novice	3rd	1st	1st	3rd	2nd	10	794	2	1
19	UPenn GL		2nd	1st	2nd	2nd	3rd	10	792	1	3
20	Princeton LM		1st	4th	1st	2nd	2nd	10	790	2	2
21	Chicago HK		4th	1st	1st	1st	3rd	10	786	3	0
22	Cornell OK		3rd	1st	2nd	2nd	2nd	10	778	1	3
23	Princeton GC		1st	4th	3rd	1st	1st	10	774	3	0
24	Princeton LD	Novice, ESL	2nd	1st	4th	2nd	1st	10	772	2	2
25	Western/Queen&#x27;s SW		2nd	1st	3rd	4th	1st	9	789	2	1
26	HWS PK		1st	1st	4th	3rd	2nd	9	788	2	1
27	UPenn MK	Novice, ESL	3rd	2nd	1st	3rd	2nd	9	786	1	2
28	Stanford QY		4th	2nd	1st	3rd	1st	9	785	2	1
29	Harvard SG	Novice, ESL	1st	1st	3rd	3rd	3rd	9	785	2	0
30	McGill CW		3rd	1st	2nd	1st	4th	9	782	2	1
31	Brown AH		1st	3rd	3rd	1st	3rd	9	782	2	0
32	Harvard AB		2nd	3rd	2nd	3rd	1st	9	780	1	2
33	UWODS UC		2nd	1st	4th	1st	3rd	9	778	2	1
34=	Stanford CF		2nd	3rd	4th	1st	1st	9	777	2	1
34=	Yale LD	Novice	2nd	1st	3rd	1st	4th	9	777	2	1
36	HH ZZ	Novice	2nd	4th	1st	2nd	2nd	9	777	1	3
37	UWODS CS		1st	2nd	1st	3rd	4th	9	775	2	1
38	Harvard LS		2nd	2nd	1st	4th	2nd	9	775	1	3
39	Yale WL	Novice	4th	2nd	3rd	1st	1st	9	773	2	1
40	Yale ST	Novice	2nd	2nd	2nd	2nd	3rd	9	770	0	4
41	HH WeMa	Novice	2nd	3rd	1st	3rd	2nd	9	763	1	2
42	Stanford AT	Novice	4th	4th	1st	1st	1st	9	759	3	0
43	Bates ML	ESL	2nd	4th	1st	1st	4th	8	786	2	1
44	Brandeis NS		1st	4th	3rd	2nd	2nd	8	774	1	2
45	UPenn KA		3rd	4th	1st	2nd	2nd	8	773	1	2
46	Stanford DO	Novice	2nd	1st	3rd	2nd	4th	8	772	1	2
47	Stanford ChFr	Novice	4th	4th	1st	2nd	1st	8	771	2	1
48	uOttawa KO		3rd	1st	3rd	4th	1st	8	771	2	0
49	Stanford DG	Novice	1st	1st	3rd	4th	3rd	8	770	2	0
50	McGill SB		3rd	2nd	2nd	2nd	3rd	8	769	0	3
51	Harvard FR	Novice	1st	3rd	3rd	4th	1st	8	768	2	0
52	Princeton BK	Novice	3rd	4th	1st	2nd	2nd	8	768	1	2
53	Cornell OC		2nd	3rd	1st	2nd	4th	8	767	1	2
54	Bates WN	Novice, ESL	3rd	2nd	2nd	1st	4th	8	766	1	2
55	Swarthmore College/Haverford Colle	Novice	3rd	3rd	2nd	3rd	1st	8	763	1	1
56	USC GF		3rd	2nd	3rd	2nd	2nd	8	763	0	3
57	Morehouse SO		1st	4th	3rd	1st	3rd	8	755	2	0
58	Harvard HV	Novice	4th	4th	2nd	1st	1st	8	753	2	1
59	UPenn CC	Novice, ESL	3rd	1st	3rd	2nd	3rd	8	749	1	1
60=	Columbia RB		2nd	1st	3rd	3rd	4th	7	776	1	1
60=	USC BP		1st	2nd	4th	3rd	3rd	7	776	1	1
62	Rochester IN	ESL	2nd	4th	3rd	1st	3rd	7	771	1	1
63	QDU MK		3rd	3rd	2nd	1st	4th	7	770	1	1
64	Stanford LB	Novice	1st	2nd	2nd	4th	4th	7	769	1	2
65	Yale WY	Novice	1st	3rd	4th	4th	1st	7	768	2	0
66	Chicago GK	ESL	2nd	4th	2nd	1st	4th	7	765	1	2
67	Princeton BoKa	Novice	2nd	4th	4th	2nd	1st	7	764	1	2
68	HH NW	Novice	3rd	3rd	1st	3rd	3rd	7	764	1	0
69	Stanford KD	Novice	1st	2nd	4th	4th	2nd	7	763	1	2
70	JHU WG	Novice	2nd	4th	3rd	3rd	1st	7	763	1	1
71	UWODS GA	Novice	2nd	4th	3rd	2nd	2nd	7	761	0	3
72	HH RS	Novice	3rd	3rd	2nd	3rd	2nd	7	760	0	2
73	McGill HN	Novice, ESL	3rd	4th	2nd	1st	3rd	7	759	1	1
74	HWS TR	Novice, ESL	2nd	3rd	3rd	2nd	3rd	7	759	0	2
75	Stanford CK	Novice	4th	3rd	1st	1st	4th	7	756	2	0
76	HWS Wv	Novice, ESL	3rd	4th	2nd	2nd	2nd	7	755	0	3
77	QDU KB	Novice	3rd	1st	4th	2nd	3rd	7	752	1	1
78	Fordham WH		4th	1st	4th	2nd	2nd	7	749	1	2
79	Chicago QM		4th	1st	4th	2nd	3rd	6	775	1	1
80	Chicago JG		2nd	2nd	4th	4th	2nd	6	771	0	3
81	Princeton RI	Novice	1st	4th	1st	4th	4th	6	769	2	0
82	Bates HT	Novice, ESL	4th	2nd	2nd	4th	2nd	6	765	0	3
83	Stanford CS		1st	3rd	2nd	4th	4th	6	763	1	1
84	USC JL	Novice	3rd	2nd	2nd	4th	3rd	6	763	0	2
85	Middlebury GN		3rd	2nd	2nd	3rd	4th	6	760	0	2
86=	HH OO		3rd	3rd	1st	3rd	4th	6	759	1	0
86=	Williams IL		1st	3rd	3rd	4th	3rd	6	759	1	0
88	HWS MH	Novice	2nd	3rd	3rd	4th	2nd	6	758	0	2
89	Stanford CC		4th	3rd	1st	2nd	4th	6	753	1	1
90	Columbia ND	Novice	4th	3rd	3rd	3rd	1st	6	752	1	0
91	Stanford AR	Novice	4th	2nd	2nd	3rd	3rd	6	745	0	2
92	Boston PW		1st	4th	1st	4th	—	6	608	2	0
93	McGill/Harvard HI	Novice	2nd	2nd	4th	3rd	4th	5	754	0	2
94	uOttawa AL	Novice	3rd	3rd	3rd	3rd	3rd	5	754	0	0
95	Stanford TY	Novice	3rd	2nd	4th	4th	2nd	5	748	0	2
96	UPenn SA	Novice	3rd	4th	2nd	3rd	3rd	5	748	0	1
97	Pepperdine PW	Novice	4th	1st	2nd	4th	4th	5	742	1	1
98	Bates CS	Novice	4th	2nd	4th	2nd	3rd	5	742	0	2
99	HWS TT	Novice	4th	4th	2nd	4th	1st	5	739	1	1
100	Morehouse CH	Novice	4th	2nd	4th	1st	4th	5	731	1	1
101	Middlebury SS	Novice, ESL	3rd	3rd	2nd	3rd	4th	5	724	0	1
102	Yale TM	Novice	4th	1st	4th	4th	3rd	4	757	1	0
103	UdeS MB	ESL	2nd	4th	4th	4th	2nd	4	741	0	2
104	Middlebury CM	Novice	4th	4th	4th	3rd	1st	4	738	1	0
105	Middlebury BB	Novice	4th	3rd	4th	1st	4th	4	730	1	0
106	Rutgers JP	Novice	3rd	3rd	4th	4th	2nd	4	725	0	1
107	Swing A		1st	4th	4th	3rd	—	4	604	1	0
108	Swing B		3rd	4th	4th	1st	—	4	602	1	0
109	Boston FC	Novice	4th	2nd	3rd	3rd	—	4	596	0	1
110	USC BD		2nd	3rd	4th	4th	4th	3	752	0	1
111	SYSU YF	ESL	3rd	4th	3rd	3rd	4th	3	749	0	0
112	Middlebury YH	Novice	4th	2nd	3rd	4th	4th	3	734	0	1
113	Fordham KD	Novice	4th	3rd	4th	3rd	3rd	3	734	0	0
114	Yale KK		4th	3rd	4th	2nd	—	3	593	0	1
115	Brandeis CB		4th	1st	4th	—	4th	3	584	1	0
116	Boston WG	Novice, ESL	4th	1st	4th	4th	—	3	583	1	0
117	Boston MY	Novice	4th	4th	3rd	2nd	—	3	576	0	1
118	York BI	Novice	4th	4th	3rd	4th	3rd	2	729	0	0
119	W&amp;M BS	ESL	4th	3rd	3rd	4th	—	2	605	0	0
120	Swing C		—	—	—	3rd	—	1	153	0	0
121	Rutgers AM	Novice	4th	4th	4th	4th	4th	0	701	0	0
