team	result	side	adjudicators
UBC2	4th	Opening Government	Matt CaitoⒸ , Daniela Leyton Giraldo , Meg  Kandarpa
CUDS A	2nd	Opening Opposition	Matt CaitoⒸ , Daniela Leyton Giraldo , Meg  Kandarpa
NLIU	3rd	Closing Government	Matt CaitoⒸ , Daniela Leyton Giraldo , Meg  Kandarpa
ADDU 1	1st	Closing Opposition	Matt CaitoⒸ , Daniela Leyton Giraldo , Meg  Kandarpa
NUS D	3rd	Opening Government	Cormac MoriartyⒸ , Edgar Empeño , Xiaochun &quot;Jennette&quot; Zhu
VU1	2nd	Opening Opposition	Cormac MoriartyⒸ , Edgar Empeño , Xiaochun &quot;Jennette&quot; Zhu
GUQ	4th	Closing Government	Cormac MoriartyⒸ , Edgar Empeño , Xiaochun &quot;Jennette&quot; Zhu
Harvard D	1st	Closing Opposition	Cormac MoriartyⒸ , Edgar Empeño , Xiaochun &quot;Jennette&quot; Zhu
SUDS 52	2nd	Opening Government	Verse AbellanedaⒸ , Kit Wa Victoria Fong , Raymond Chuma-Onwuoku , Khairul AshrafⓉ
Coimbra 2	3rd	Opening Opposition	Verse AbellanedaⒸ , Kit Wa Victoria Fong , Raymond Chuma-Onwuoku , Khairul AshrafⓉ
UNRI 2	1st	Closing Government	Verse AbellanedaⒸ , Kit Wa Victoria Fong , Raymond Chuma-Onwuoku , Khairul AshrafⓉ
YSU	4th	Closing Opposition	Verse AbellanedaⒸ , Kit Wa Victoria Fong , Raymond Chuma-Onwuoku , Khairul AshrafⓉ
USP	2nd	Opening Government	Daniel BermanⒸ , Dilys Wang , Eze Nwakuba
Sunway A	1st	Opening Opposition	Daniel BermanⒸ , Dilys Wang , Eze Nwakuba
RRIS 1	3rd	Closing Government	Daniel BermanⒸ , Dilys Wang , Eze Nwakuba
UBAYA	4th	Closing Opposition	Daniel BermanⒸ , Dilys Wang , Eze Nwakuba
IBA-DU 1	3rd	Opening Government	Ameera MooreⒸ , Jessica Awurum , Minjae Kim
Princeton C	2nd	Opening Opposition	Ameera MooreⒸ , Jessica Awurum , Minjae Kim
Otago A	4th	Closing Government	Ameera MooreⒸ , Jessica Awurum , Minjae Kim
Melbourne 1	1st	Closing Opposition	Ameera MooreⒸ , Jessica Awurum , Minjae Kim
KNU 1	4th	Opening Government	Mohammed Wasif  Amin KhanⒸ , Ben Xiang , Bronwyn McDonald
YNC A	3rd	Opening Opposition	Mohammed Wasif  Amin KhanⒸ , Ben Xiang , Bronwyn McDonald
Macau 1	1st	Closing Government	Mohammed Wasif  Amin KhanⒸ , Ben Xiang , Bronwyn McDonald
Hart House B	2nd	Closing Opposition	Mohammed Wasif  Amin KhanⒸ , Ben Xiang , Bronwyn McDonald
NYUAD	1st	Opening Government	Miraz RahmanⒸ , Lorraine Lui , William  Reynolds
NUS C	3rd	Opening Opposition	Miraz RahmanⒸ , Lorraine Lui , William  Reynolds
ILNU-A	2nd	Closing Government	Miraz RahmanⒸ , Lorraine Lui , William  Reynolds
ILNU B	4th	Closing Opposition	Miraz RahmanⒸ , Lorraine Lui , William  Reynolds
JHU PM	2nd	Opening Government	Ilija  IvaniševićⒸ , Anubhav Agarwal , Sophie Shead
GLC Z	1st	Opening Opposition	Ilija  IvaniševićⒸ , Anubhav Agarwal , Sophie Shead
IIUM 1	4th	Closing Government	Ilija  IvaniševićⒸ , Anubhav Agarwal , Sophie Shead
De La Salle 3	3rd	Closing Opposition	Ilija  IvaniševićⒸ , Anubhav Agarwal , Sophie Shead
NUL	4th	Opening Government	Emily FrizellⒸ , Keshav Mohan , Shmuel Satat
XU 2	1st	Opening Opposition	Emily FrizellⒸ , Keshav Mohan , Shmuel Satat
IBA-DU 2	3rd	Closing Government	Emily FrizellⒸ , Keshav Mohan , Shmuel Satat
NU B	2nd	Closing Opposition	Emily FrizellⒸ , Keshav Mohan , Shmuel Satat
ADDU 2	3rd	Opening Government	Stefan SiridzanskiⒸ , Cecilia Tiara Liong , Daanish Sonawala
TAU 2	2nd	Opening Opposition	Stefan SiridzanskiⒸ , Cecilia Tiara Liong , Daanish Sonawala
CUHK A	4th	Closing Government	Stefan SiridzanskiⒸ , Cecilia Tiara Liong , Daanish Sonawala
Duke 2	1st	Closing Opposition	Stefan SiridzanskiⒸ , Cecilia Tiara Liong , Daanish Sonawala
UENR 1	4th	Opening Government	Joanna &#x27;bro chill&#x27; DingⒸ , David McArthur , Vioni Daffa Ghaisani
Rosario A	3rd	Opening Opposition	Joanna &#x27;bro chill&#x27; DingⒸ , David McArthur , Vioni Daffa Ghaisani
SMU(A), SINGAPORE	4th	Closing Government	Joanna &#x27;bro chill&#x27; DingⒸ , David McArthur , Vioni Daffa Ghaisani
UFRGS 1	1st	Closing Opposition	Joanna &#x27;bro chill&#x27; DingⒸ , David McArthur , Vioni Daffa Ghaisani
MSU-GSC BD	1st	Opening Government	Osel PanⒸ , Afia Foriwaa , Aldi Putra Liani , Vansh Chadha
UTech Ja. B	3rd	Opening Opposition	Osel PanⒸ , Afia Foriwaa , Aldi Putra Liani , Vansh Chadha
Indonesia 3	2nd	Closing Government	Osel PanⒸ , Afia Foriwaa , Aldi Putra Liani , Vansh Chadha
UNC	4th	Closing Opposition	Osel PanⒸ , Afia Foriwaa , Aldi Putra Liani , Vansh Chadha
UGM D	1st	Opening Government	Jeremiah EdagbamiⒸ , Boburmirzo Sirojiddinov , Shawn Kasih
FEU A	4th	Opening Opposition	Jeremiah EdagbamiⒸ , Boburmirzo Sirojiddinov , Shawn Kasih
Chittagong B	3rd	Closing Government	Jeremiah EdagbamiⒸ , Boburmirzo Sirojiddinov , Shawn Kasih
Edinburgh D	2nd	Closing Opposition	Jeremiah EdagbamiⒸ , Boburmirzo Sirojiddinov , Shawn Kasih
Malaya 3	2nd	Opening Government	Helena HeckeⒸ , Hizkia Nogie Runkat , Kezia Okyere Amponsah
Parahyangan 1	1st	Opening Opposition	Helena HeckeⒸ , Hizkia Nogie Runkat , Kezia Okyere Amponsah
UNRI 1	4th	Closing Government	Helena HeckeⒸ , Hizkia Nogie Runkat , Kezia Okyere Amponsah
IUTDS A	3rd	Closing Opposition	Helena HeckeⒸ , Hizkia Nogie Runkat , Kezia Okyere Amponsah
XU 1	2nd	Opening Government	Eyal HorowitzⒸ , Pauline Mbanza , Wingel Xue
ATMA 2	3rd	Opening Opposition	Eyal HorowitzⒸ , Pauline Mbanza , Wingel Xue
Rosario C	4th	Closing Government	Eyal HorowitzⒸ , Pauline Mbanza , Wingel Xue
SSMC	1st	Closing Opposition	Eyal HorowitzⒸ , Pauline Mbanza , Wingel Xue
JMU A	3rd	Opening Government	Aditya DharⒸ , Charlette  Inao , Thomas Burnett
IIUM 2	1st	Opening Opposition	Aditya DharⒸ , Charlette  Inao , Thomas Burnett
Rvce1	4th	Closing Government	Aditya DharⒸ , Charlette  Inao , Thomas Burnett
WCMQ 1	2nd	Closing Opposition	Aditya DharⒸ , Charlette  Inao , Thomas Burnett
Yale 2	1st	Opening Government	Ben  JacksonⒸ , Apratim , Jungwoo Park
UNWE 1	3rd	Opening Opposition	Ben  JacksonⒸ , Apratim , Jungwoo Park
Cornell 2	2nd	Closing Government	Ben  JacksonⒸ , Apratim , Jungwoo Park
Cornell 1	4th	Closing Opposition	Ben  JacksonⒸ , Apratim , Jungwoo Park
DAE2	4th	Opening Government	David Brynley HamerⒸ , Arshiya Sohaib , Christopher Salendu Erwin , Kevin ZhangⓉ
IDS	3rd	Opening Opposition	David Brynley HamerⒸ , Arshiya Sohaib , Christopher Salendu Erwin , Kevin ZhangⓉ
WCM-Q 2	2nd	Closing Government	David Brynley HamerⒸ , Arshiya Sohaib , Christopher Salendu Erwin , Kevin ZhangⓉ
Split B	1st	Closing Opposition	David Brynley HamerⒸ , Arshiya Sohaib , Christopher Salendu Erwin , Kevin ZhangⓉ
TCD Hist 1	4th	Opening Government	Harish NatarajanⒸ , Arie Mora , Carolina Amorim Fernandes
Harvard A	2nd	Opening Opposition	Harish NatarajanⒸ , Arie Mora , Carolina Amorim Fernandes
LSE B	1st	Closing Government	Harish NatarajanⒸ , Arie Mora , Carolina Amorim Fernandes
Streitkultur A	3rd	Closing Opposition	Harish NatarajanⒸ , Arie Mora , Carolina Amorim Fernandes
Belgrade A	2nd	Opening Government	Tejal “it goes down in the DMs” PatwardhanⒸ , Aroon Parthasarathy , Dongbin Lee
HUJI A	4th	Opening Opposition	Tejal “it goes down in the DMs” PatwardhanⒸ , Aroon Parthasarathy , Dongbin Lee
Cambridge B	1st	Closing Government	Tejal “it goes down in the DMs” PatwardhanⒸ , Aroon Parthasarathy , Dongbin Lee
GUU C	3rd	Closing Opposition	Tejal “it goes down in the DMs” PatwardhanⒸ , Aroon Parthasarathy , Dongbin Lee
UT MARA B	3rd	Opening Government	Jyotirmoy  MishraⒸ , Bilal Moin , João Pedro Mamede Miranda , Romeo Tweneboah Koduah
IDC 1	2nd	Opening Opposition	Jyotirmoy  MishraⒸ , Bilal Moin , João Pedro Mamede Miranda , Romeo Tweneboah Koduah
UFRJ A	4th	Closing Government	Jyotirmoy  MishraⒸ , Bilal Moin , João Pedro Mamede Miranda , Romeo Tweneboah Koduah
SEOUL 2	1st	Closing Opposition	Jyotirmoy  MishraⒸ , Bilal Moin , João Pedro Mamede Miranda , Romeo Tweneboah Koduah
QU 2	4th	Opening Government	Arghya Dev Biswas AryanⒸ , Chisato Hashima , Jirayu Leesuwatthanakul
Unila	1st	Opening Opposition	Arghya Dev Biswas AryanⒸ , Chisato Hashima , Jirayu Leesuwatthanakul
ADA 1	2nd	Closing Government	Arghya Dev Biswas AryanⒸ , Chisato Hashima , Jirayu Leesuwatthanakul
